subject,session_test,split_type,split,fs_method,model,y_true,y_pred,y_prob
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9835365414619446, 0.001628798432648182, 0.00831802561879158, 0.0065165357664227486]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.03760477527976036, 0.9589077830314636, 0.0006523181218653917, 0.0028351799119263887]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.02993294782936573, 0.9690691828727722, 0.00016585372213739902, 0.0008320380584336817]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9478166103363037, 0.04318763315677643, 0.004432838410139084, 0.004562882706522942]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.01900259591639042, 0.9805895090103149, 0.0002505016454961151, 0.00015730068844277412]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9585005640983582, 0.025204787030816078, 0.0032602164428681135, 0.013034387491643429]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.04248281568288803, 0.9565873146057129, 0.0003170282579958439, 0.00061286601703614]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[7.030775464045291e-07, 8.545859600417316e-06, 0.9873175024986267, 0.012673175893723965]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.02328817918896675, 0.9596595764160156, 0.007388450670987368, 0.009663743898272514]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[2.7617934961199353e-07, 6.972157962081837e-07, 0.01338647399097681, 0.9866125583648682]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9818768501281738, 0.015990696847438812, 0.0005233787233009934, 0.0016091186553239822]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[2.6399525268061552e-06, 1.7085370700442581e-06, 0.916678786277771, 0.08331691473722458]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.05321265757083893, 0.9424530863761902, 0.0011814889730885625, 0.0031527364626526833]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9710626006126404, 0.0032601519487798214, 0.01784905418753624, 0.00782808568328619]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[2.0422206148396072e-07, 7.522535452153534e-05, 0.010844535194337368, 0.989080011844635]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.012858174741268158, 9.412202780367807e-05, 0.0022381083108484745, 0.9848095774650574]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[2.9880777674407e-07, 2.2963990886637475e-06, 0.03096117079257965, 0.9690361618995667]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.00011328082473482937, 3.2852076401468366e-05, 0.0075826868414878845, 0.9922711849212646]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[7.26431471775868e-06, 8.055876605794765e-06, 0.05282260477542877, 0.9471621513366699]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9971497654914856, 0.0020013812463730574, 0.00044635904487222433, 0.0004025394155178219]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[0.0014251990942284465, 0.0022023911587893963, 0.9214577078819275, 0.07491475343704224]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.016794513911008835, 0.983160674571991, 3.264825136284344e-05, 1.2214848538860679e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9983634352684021, 0.0015651412541046739, 5.5771684856154025e-05, 1.5598005120409653e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9745278358459473, 0.015692684799432755, 0.00048463893472217023, 0.009294823743402958]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[5.7654913689475507e-05, 0.00011668659135466442, 0.9609735608100891, 0.03885212913155556]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[4.2851428588619456e-05, 0.003339372342452407, 0.012095010839402676, 0.984522819519043]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9768862128257751, 0.02218136005103588, 0.0003103717463091016, 0.0006220736540853977]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[0.021128058433532715, 0.003005612874403596, 0.927827775478363, 0.048038579523563385]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[1.2296790373511612e-05, 0.00032903903047554195, 0.9029518961906433, 0.09670679271221161]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[0.007070529740303755, 0.0001380823232466355, 0.9482651948928833, 0.04452621564269066]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9779905080795288, 0.021161256358027458, 6.623181434406433e-06, 0.00084162678103894]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.013979049399495125, 0.9849452376365662, 0.0002966014144476503, 0.0007791196694597602]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9846039414405823, 0.01419141050428152, 0.00020370338461361825, 0.0010008327662944794]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.08344969153404236, 0.9162940382957458, 0.00021335133351385593, 4.298032945371233e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.0015864636516198516, 0.988174557685852, 0.002323341090232134, 0.007915614172816277]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9078550338745117, 0.032327793538570404, 0.003976120613515377, 0.05584113299846649]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.004305580165237188, 0.9911209940910339, 0.0037589191924780607, 0.0008145312312990427]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[9.10655508050695e-05, 1.772012637957232e-06, 0.9695866703987122, 0.030320504680275917]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.001811724854633212, 0.9981598258018494, 8.399521220781025e-07, 2.7637888706522062e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[1.5917687051114626e-05, 4.191982043266762e-06, 0.9999244213104248, 5.537484321394004e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[0.0002653925330378115, 0.00011742348578991368, 0.9416770339012146, 0.057940199971199036]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.004867136478424072, 0.000791768601629883, 0.028200609609484673, 0.9661404490470886]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[2.3374055672320537e-05, 0.0002953040529973805, 0.9004290699958801, 0.09925223886966705]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[0.0002269967517349869, 0.0072899688966572285, 0.9702242016792297, 0.022258734330534935]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.0017302879132330418, 6.383255094988272e-05, 0.013252945616841316, 0.9849528670310974]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[7.179714884841815e-05, 0.010023757815361023, 0.0403507724404335, 0.9495536088943481]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[1.151895230577793e-05, 3.713069236255251e-05, 0.06363524496555328, 0.9363160133361816]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[3.2793737773317844e-05, 0.0002362140076002106, 0.01971830427646637, 0.9800127148628235]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.001354809501208365, 0.0182248055934906, 0.01022343523800373, 0.9701969623565674]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[1.2282872635660524e-11, 8.216136104799432e-13, 0.999937891960144, 6.206765829119831e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.008047818206250668, 0.9919114708900452, 3.906682104570791e-05, 1.630596329960099e-06]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9914884567260742, 0.008318562060594559, 6.0455833590822294e-05, 0.00013253554061520845]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9757466316223145, 0.015293033793568611, 0.00038536282954737544, 0.008574990555644035]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.03278334066271782, 0.9668798446655273, 0.0002749670238699764, 6.185374513734132e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[0.012411284260451794, 0.0010881636990234256, 0.9864879250526428, 1.2653080375457648e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[5.5170250561786816e-05, 0.007205727975815535, 0.02529708296060562, 0.9674420952796936]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.0898035317659378, 0.9101443886756897, 3.8545542338397354e-05, 1.3586501154350117e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[5.7701051048297813e-08, 6.648483008575568e-07, 0.9939959049224854, 0.006003404036164284]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.981555163860321, 0.01835920847952366, 5.954085281700827e-05, 2.6007131964433938e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9898159503936768, 0.010140064172446728, 6.867964657431003e-06, 3.710464807227254e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9867445826530457, 0.00876739900559187, 0.004466084763407707, 2.1811640181113034e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.00038877790211699903, 0.0007938499911688268, 0.005963393487036228, 0.9928540587425232]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.011424676515161991, 0.9877579212188721, 0.0008157229167409241, 1.6400159665863612e-06]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.004052417818456888, 0.9890066385269165, 0.0064153666608035564, 0.0005255613359622657]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9219585657119751, 0.07780468463897705, 0.00023407633125316352, 2.6581069505482446e-06]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9991447925567627, 0.0008242165786214173, 1.4541946029567043e-06, 2.9491708119167015e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[1.170957020235619e-07, 4.4308262658887543e-07, 0.9814304709434509, 0.01856900565326214]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9870402216911316, 0.00023572372447233647, 9.576953743817285e-05, 0.012628228403627872]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[4.991338153339728e-14, 0.9981052875518799, 0.001894729328341782, 1.250828251340136e-26]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.008254739455878735, 0.00038489868165925145, 0.02493141032755375, 0.9664289355278015]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.00024325127014890313, 3.6121433367952704e-05, 0.020956864580512047, 0.9787636995315552]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[3.53830068888783e-06, 3.5333454434294254e-05, 0.9710379838943481, 0.028923118487000465]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9539441466331482, 0.03681960701942444, 0.006043316796422005, 0.003192922566086054]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.002731312531977892, 0.002871076576411724, 0.009262267500162125, 0.9851352572441101]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.002679025987163186, 0.0012488950742408633, 0.04539863392710686, 0.950673520565033]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.028768004849553108, 0.9708961844444275, 2.9251257728901692e-05, 0.000306624366203323]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.0005625615594908595, 0.007275690790265799, 0.03257979825139046, 0.9595819711685181]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.0007952512241899967, 0.02408013306558132, 0.01018394436687231, 0.9649407267570496]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.01242399588227272, 0.9875576496124268, 1.5145595170906745e-05, 3.210883278370602e-06]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9845322966575623, 0.015149125829339027, 2.4585198843851686e-05, 0.000294057943392545]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.0001226243912242353, 0.9807004928588867, 0.018810298293828964, 0.0003666425764095038]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[6.93309118560137e-07, 3.548319455148885e-06, 0.9999499320983887, 4.5759035856463015e-05]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[0.003270677523687482, 0.005146881565451622, 0.9804218411445618, 0.011160654947161674]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[0.00033806549618020654, 5.570247594732791e-06, 0.9894860982894897, 0.010170232504606247]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[0.0010256541427224874, 7.419603207381442e-05, 0.009835224598646164, 0.9890649318695068]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[0.012562674470245838, 0.003031438682228327, 0.9768913388252258, 0.007514547556638718]"
A01,session1,inter_session,train,pca_32,nn_erm,0,0,"[0.9656262993812561, 0.03131059557199478, 0.0021755960769951344, 0.0008874780032783747]"
A01,session1,inter_session,train,pca_32,nn_erm,3,3,"[8.489411266054958e-05, 3.897120848250779e-07, 0.005975406616926193, 0.9939393997192383]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.07384466379880905, 0.9260677695274353, 8.3491402619984e-05, 4.035622623632662e-06]"
A01,session1,inter_session,train,pca_32,nn_erm,2,2,"[1.2189009339635959e-06, 1.3341050362214446e-06, 0.997453510761261, 0.0025439367163926363]"
A01,session1,inter_session,train,pca_32,nn_erm,1,1,"[0.014014487154781818, 0.9859831929206848, 1.5491893918806454e-06, 8.329870411216689e-07]"
