subject,session_test,split_type,fs_method,model,fs_time,train_time,n_train,n_test
A01,session1,inter_session,mi,nn_erm,1.8730378150939941,0.21714091300964355,288,288
A01,session1,inter_session,mi,nn_domain_agreement,1.8730378150939941,0.15962719917297363,288,288
A01,session2,inter_session,mi,nn_erm,1.8516709804534912,0.21303725242614746,288,288
A01,session2,inter_session,mi,nn_domain_agreement,1.8516709804534912,0.15964293479919434,288,288
A02,session1,inter_session,mi,nn_erm,1.848600149154663,0.21365594863891602,288,288
A02,session1,inter_session,mi,nn_domain_agreement,1.848600149154663,0.1596968173980713,288,288
A02,session2,inter_session,mi,nn_erm,1.855600118637085,0.2121140956878662,288,288
A02,session2,inter_session,mi,nn_domain_agreement,1.855600118637085,0.1593308448791504,288,288
A03,session1,inter_session,mi,nn_erm,1.8558862209320068,0.21156024932861328,288,288
A03,session1,inter_session,mi,nn_domain_agreement,1.8558862209320068,0.15894293785095215,288,288
A03,session2,inter_session,mi,nn_erm,1.8500349521636963,0.21287989616394043,288,288
A03,session2,inter_session,mi,nn_domain_agreement,1.8500349521636963,0.15768098831176758,288,288
A04,session1,inter_session,mi,nn_erm,1.849498987197876,0.2118079662322998,288,288
A04,session1,inter_session,mi,nn_domain_agreement,1.849498987197876,0.15860414505004883,288,288
A04,session2,inter_session,mi,nn_erm,1.8506669998168945,0.21101069450378418,288,288
A04,session2,inter_session,mi,nn_domain_agreement,1.8506669998168945,0.15819311141967773,288,288
A05,session1,inter_session,mi,nn_erm,1.8512022495269775,0.21255993843078613,288,288
A05,session1,inter_session,mi,nn_domain_agreement,1.8512022495269775,0.157883882522583,288,288
A05,session2,inter_session,mi,nn_erm,1.8477649688720703,0.20978212356567383,288,288
A05,session2,inter_session,mi,nn_domain_agreement,1.8477649688720703,0.15768909454345703,288,288
A06,session1,inter_session,mi,nn_erm,1.8480250835418701,0.2127518653869629,288,288
A06,session1,inter_session,mi,nn_domain_agreement,1.8480250835418701,0.1574559211730957,288,288
A06,session2,inter_session,mi,nn_erm,1.8432269096374512,0.21222519874572754,288,288
A06,session2,inter_session,mi,nn_domain_agreement,1.8432269096374512,0.15824007987976074,288,288
A07,session1,inter_session,mi,nn_erm,1.8399498462677002,0.20998883247375488,288,288
A07,session1,inter_session,mi,nn_domain_agreement,1.8399498462677002,0.15735793113708496,288,288
A07,session2,inter_session,mi,nn_erm,1.8398659229278564,0.2106339931488037,288,288
A07,session2,inter_session,mi,nn_domain_agreement,1.8398659229278564,0.15842986106872559,288,288
A08,session1,inter_session,mi,nn_erm,1.871175765991211,0.211198091506958,288,288
A08,session1,inter_session,mi,nn_domain_agreement,1.871175765991211,0.15787816047668457,288,288
A08,session2,inter_session,mi,nn_erm,1.8325152397155762,0.21144509315490723,288,288
A08,session2,inter_session,mi,nn_domain_agreement,1.8325152397155762,0.15788793563842773,288,288
A09,session1,inter_session,mi,nn_erm,1.8300468921661377,0.22020936012268066,288,288
A09,session1,inter_session,mi,nn_domain_agreement,1.8300468921661377,0.15734004974365234,288,288
A09,session2,inter_session,mi,nn_erm,1.8397691249847412,0.21047592163085938,288,288
A09,session2,inter_session,mi,nn_domain_agreement,1.8397691249847412,0.158278226852417,288,288
