x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,y_0,domain
-7.4139943,-0.55135375,-0.14177126,-0.32983097,0.46298268,-0.8471146,1.160689,2.5427895,2.385535,3.6021655,-2.4295132,0.8608666,-1.214876,-3.6135802,4.9342346,2.3988385,2.923721,-1.6051697,0.31074902,-1.2209333,-3.1488044,0.69674563,-1.098024,0.49731612,-1.1387533,-3.3846543,-2.0855074,7.370138,2.2007136,-2.9086032,3.605073,0.8960503,-0.69164383,2.658856,-2.5771787,1.9290539,-0.69890976,3.967075,3.0700395,-1.1292994,0.74322414,1.4771155,-2.9272447,0.21304798,1.1123147,3.6231854,2.2126317,1.1777812,3.86297,-4.8745494,-8.04766,-5.3729777,-3.9128215,-6.190788,2.0698857,-1.3736093,6.208549,-6.3161926,4.604287,-5.215691,0.6004029,0
0.42274296,3.8761284,1.2295333,-2.717251,2.1363657,-1.459589,3.361189,-4.8833694,4.7206597,2.4088018,-2.4063687,3.8620389,2.6865156,1.1931671,-4.112122,1.0187021,-0.90456337,1.0779511,-1.0885091,-1.7514071,2.1936712,6.108538,3.323332,-1.3429126,-8.84115,-3.2820165,0.36622187,1.8377321,2.8963964,0.16372368,0.8129861,2.360939,1.0202019,-4.409716,1.1251713,-0.69021964,0.69146454,5.818058,-1.5193301,0.7803517,-2.7986948,4.3429217,2.8095405,-2.8785686,-2.7835164,-0.5718266,-0.95581555,0.70111364,-2.907487,4.128255,-8.473153,-5.6259093,-2.6081738,-6.5985594,2.9452767,-1.627638,6.402145,-6.3450675,3.2451673,-5.3966846,0.7148856,0
-0.9666346,-0.4678831,2.1264415,-2.7347958,-2.7021544,-5.827156,2.6939979,3.8941927,1.3065779,0.08258447,3.0449142,-2.6548223,-2.0640185,2.3326523,-3.3894937,5.617547,2.7864878,-0.7221153,-2.738517,-3.3106065,3.9898183,-2.3350651,-0.77634704,2.680638,9.0044775,2.7224689,-1.3801732,1.5708436,-5.5915318,1.946237,2.4994411,2.1355965,-6.6444206,2.3377218,6.354292,-1.2883106,-0.78563726,-4.726928,1.0265625,2.4742854,3.950244,2.42465,-0.7561636,-0.21316296,4.5565004,0.19575274,-1.4096279,-1.9584583,1.4999747,0.5772464,-8.15252,-5.4807973,-3.4913948,-6.479654,1.4489977,-1.9416494,6.053642,-6.401081,4.112231,-5.3625555,0.32045695,0
-3.7522802,1.3458024,0.34405002,0.23954819,-0.3865886,-0.39013544,3.2893288,-1.1155769,2.015498,-5.8618336,1.1536242,0.39866793,0.38450253,1.165714,0.6935844,-5.3473887,-0.55061734,0.87794906,0.9103586,2.8172588,-1.3806772,-3.421722,-4.429313,-2.2021973,-0.18117751,3.5842903,-1.1901742,-1.8987489,1.8560997,7.631653,3.6475997,1.9998436,-0.3669025,0.17792393,0.37081373,-1.4948014,0.8007812,-1.9754825,-1.2883623,-3.226668,-3.322991,-6.4951124,-0.8394313,-4.4649057,3.0939999,2.7733297,0.9579058,-1.8419504,3.2314436,0.41070879,-8.262846,-5.651705,-3.2812119,-6.600949,2.602926,-1.7319803,6.2075357,-6.2934628,3.8037872,-5.2114596,0.49044037,0
4.799666,1.3414177,-0.85281926,-0.21881917,-0.30557072,-2.1899607,2.792481,0.6417803,0.009433869,2.5044212,-3.7236564,0.2948354,1.5267891,-1.6551117,4.1320977,0.051722318,3.1745594,-2.7134013,2.2574544,0.20833057,1.1403749,-1.1350195,-2.9803326,-0.38917324,5.048699,0.55778986,-4.020782,-1.6615756,-0.21451582,-2.289991,-2.2194266,1.7122544,2.5923321,-2.0479922,1.6260874,-0.59348077,-2.3770876,0.579776,-4.105656,-1.9164463,-1.9018108,0.58089685,3.096969,-3.5567777,-1.231014,4.549019,-2.5291073,2.1974485,-1.0488086,-5.2798696,-8.175522,-5.5713468,-3.2125888,-6.6205597,3.2150652,-1.5606511,6.554146,-6.164098,4.1117444,-5.4446683,0.5176634,0
-2.8352704,-1.2472633,-0.31692767,1.4276804,2.1173682,5.7896776,4.6816907,1.3957537,-0.30895185,-0.25026184,-2.3276813,-5.137315,-3.4459748,4.58918,-4.001377,5.1001635,-1.1244237,2.2899268,1.190703,4.853613,-3.250829,-0.14420357,-4.4833803,2.442578,-0.7314302,-1.9893627,-2.3918233,2.3302183,-1.3453025,-1.8857058,3.5073814,0.65075856,-8.409207,1.0011336,-2.7046278,0.87124926,-0.72450274,1.6287565,-1.2211396,3.3102133,0.82818615,-0.7827215,-2.5650022,7.731352,-1.0439507,1.0098206,-0.7543447,-0.18620734,-0.13325211,0.84895307,-8.273114,-5.3842998,-4.123215,-6.6520987,1.7428963,-1.8101424,6.516536,-6.4250636,3.1081746,-5.1101184,0.5936234,0
0.005593364,2.8699307,1.9864963,-2.2951384,-0.2297163,-0.14646317,-0.68286496,-0.8010755,-0.8316254,1.6183137,-0.76178294,3.7223527,-0.36334914,1.4136825,3.484063,0.9176114,1.7948947,-0.32814747,-0.46980116,0.3140319,0.4270944,9.35209,-1.4525368,1.5239787,1.5395155,-0.460028,4.072846,-0.16444185,0.16397463,0.45116737,-3.115306,-2.6597157,9.181223,-2.9104912,-0.1712707,-0.0946752,3.439621,1.3722343,3.6672437,0.25229523,-2.0529833,-0.61030143,-3.9341323,-2.1730835,-2.2969031,1.7641251,0.40126237,-4.4382,4.7911863,-0.011586204,-8.14277,-5.4336,-3.8321807,-6.3346753,1.6014569,-1.8305018,5.429075,-6.1570387,4.445958,-5.3034663,0.588703,0
1.808847,-0.80952287,-2.011205,2.5423543,-0.7120134,-0.40265605,3.2611563,-2.1434882,1.1682531,-3.6704688,0.15913294,-3.2041144,2.5168133,-5.50223,2.7567348,-0.02281121,2.0918999,1.4876364,-1.8407027,0.11710842,-2.6744964,2.3788803,3.8090627,3.623539,-1.6910336,3.3772683,4.349053,-3.458049,6.172017,2.3319361,-1.4326098,0.09694446,-0.98019487,-0.41806123,2.2121675,-0.071286164,-2.1162744,1.0688057,-3.4895048,-3.53104,2.3182685,1.2633381,0.052884582,-0.44682163,5.5517144,2.7162602,-3.456641,-0.3051876,-1.5938432,3.69672,-8.118444,-5.279304,-3.9485967,-6.5767975,2.6908517,-1.7387118,6.11051,-6.1357636,3.8623905,-5.1340346,0.61555123,0
-0.9335962,-2.742195,-0.8662284,-1.7718393,-1.2644885,1.4472692,-6.326527,2.3310962,0.7950918,3.7332869,3.4138474,0.54712313,-2.4017622,6.246744,2.646324,0.8363357,0.45174244,2.2508528,-0.61504316,-4.785637,-2.7687285,1.1346291,4.48265,0.15141827,6.3968015,0.52261287,1.8678286,7.3920836,2.8606372,-5.408365,0.83581346,-5.1193676,-6.6503406,-2.5803297,2.9501457,0.8985207,1.7216703,-0.9644201,-3.7345834,-0.5141485,-0.52550805,-3.3278909,1.5901074,-5.171098,1.1835142,-2.3553631,1.4392145,2.9503443,3.473848,-0.5573466,-8.237633,-5.2700167,-3.5476203,-6.5066657,1.8614802,-1.9485022,6.1529236,-6.1525426,3.9345117,-5.4468102,0.51280373,0
4.4208593,7.7607417,-3.2029347,-1.7859658,0.1959167,0.7686641,-1.2333387,-2.9872475,-5.4793186,-2.0314028,-1.1242051,-3.3916821,-7.3621206,0.95167905,-3.323725,-0.18416677,-3.3506262,-1.262362,3.6736739,3.4362838,0.6854434,-6.502373,-6.2738204,-3.7057674,1.5407823,-0.7996674,6.4688697,-1.9365243,-1.2615247,1.2041035,-0.3260627,-1.0269433,2.725074,3.57723,-2.2164874,0.4885883,-2.9912539,-0.8630299,-0.9378282,-1.3467712,0.6863172,-5.339753,-0.21218605,2.2661822,-0.48709515,-0.6703795,3.4164712,-1.3105096,-6.5851073,-3.633115,-8.562493,-5.3057027,-3.887245,-6.467208,1.7406465,-1.7351675,6.3094983,-6.297452,4.956917,-5.3487926,0.4475991,0
