subject,session,split_type,split,fs_method,model,y_true,y_pred,y_prob
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.007101177703589201, 3.3858603273984045e-05, 0.028249455615878105, 0.964615523815155]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.000105132712633349, 3.2647486136738735e-07, 0.9996975660324097, 0.00019706989405676723]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.004902757704257965, 0.9881384968757629, 0.006954388692975044, 4.408466338645667e-06]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9936639070510864, 8.635612175567076e-05, 0.003850379027426243, 0.002399411518126726]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9841139316558838, 0.01128724217414856, 0.002232856582850218, 0.002365985419601202]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.012595503591001034, 0.9856707453727722, 0.0016673088539391756, 6.647626287303865e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0018057635752484202, 0.0005694043356925249, 0.9804995656013489, 0.017125248908996582]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[0.0009491994860582054, 4.6139473852235824e-05, 0.01594807580113411, 0.9830564856529236]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.007185529917478561, 0.9901186227798462, 0.0025839318986982107, 0.0001118876098189503]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0022995807230472565, 0.0013174499617889524, 0.9912276864051819, 0.005155337508767843]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9875532388687134, 0.0074129169806838036, 0.0015495159896090627, 0.0034843271132558584]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9880753755569458, 0.011408144608139992, 0.00030276880715973675, 0.00021378522797022015]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9739920496940613, 0.01310765091329813, 0.006920176558196545, 0.005980107467621565]"
A01,session1,intra_session,train,pca_32,nn_erm,3,3,"[3.1621496532352467e-08, 1.3685127622862624e-14, 0.00022541353246197104, 0.9997745156288147]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.010862328112125397, 0.9875531196594238, 0.0014667281648144126, 0.00011787290713982657]"
A01,session1,intra_session,train,pca_32,nn_erm,1,1,"[0.01564938575029373, 0.9801021218299866, 0.0007607769803144038, 0.00348765985108912]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.9575389623641968, 0.02883804216980934, 0.013247303664684296, 0.0003756838268600404]"
A01,session1,intra_session,train,pca_32,nn_erm,0,0,"[0.988581120967865, 0.007243934087455273, 0.004163836594671011, 1.11501994979335e-05]"
A01,session1,intra_session,train,pca_32,nn_erm,2,2,"[0.0013985838741064072, 0.0007244680309668183, 0.9913942217826843, 0.006482753902673721]"
