subject_test,split_type,split,fs_method,model,y_true,y_pred,y_prob
A01,inter_subject,train,mi,nn_erm,0,0,"[0.6348177194595337, 0.07641128450632095, 0.1798999309539795, 0.10887102037668228]"
A01,inter_subject,train,mi,nn_erm,1,1,"[0.12377306818962097, 0.831383228302002, 0.0010436809388920665, 0.04379996284842491]"
A01,inter_subject,train,mi,nn_erm,1,1,"[0.21746617555618286, 0.7224413156509399, 0.0034056068398058414, 0.056686822324991226]"
A01,inter_subject,train,mi,nn_erm,0,0,"[0.5939837098121643, 0.08496274054050446, 0.0012555700959637761, 0.31979799270629883]"
A01,inter_subject,train,mi,nn_erm,1,1,"[0.19705338776111603, 0.781524121761322, 0.0054070972837507725, 0.016015326604247093]"
A01,inter_subject,train,mi,nn_erm,0,1,"[0.31347307562828064, 0.5804083347320557, 0.029945291578769684, 0.07617328315973282]"
A01,inter_subject,train,mi,nn_erm,1,1,"[0.17941328883171082, 0.8111600279808044, 0.006882824003696442, 0.0025438573211431503]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.02504494972527027, 0.05762274190783501, 0.7641956806182861, 0.1531367152929306]"
A01,inter_subject,train,mi,nn_erm,1,1,"[0.12662100791931152, 0.7457901835441589, 0.06269282847642899, 0.06489589810371399]"
A01,inter_subject,train,mi,nn_erm,3,2,"[0.05405694246292114, 0.07055484503507614, 0.49785369634628296, 0.37753453850746155]"
A01,inter_subject,train,mi,nn_erm,0,0,"[0.6651992797851562, 0.31538116931915283, 0.004212968051433563, 0.015206605195999146]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.00042594768456183374, 0.001659543951973319, 0.9763453602790833, 0.021569157019257545]"
A01,inter_subject,train,mi,nn_erm,1,1,"[0.18463030457496643, 0.8130043148994446, 0.00024368958838749677, 0.002121750498190522]"
A01,inter_subject,train,mi,nn_erm,0,0,"[0.6803534030914307, 0.274782657623291, 0.0007597707444801927, 0.044104162603616714]"
A01,inter_subject,train,mi,nn_erm,3,3,"[0.005295271519571543, 0.038469601422548294, 0.0778760313987732, 0.8783591389656067]"
A01,inter_subject,train,mi,nn_erm,3,3,"[0.014841469004750252, 0.019370216876268387, 0.18207819759845734, 0.7837101817131042]"
A01,inter_subject,train,mi,nn_erm,3,3,"[0.014325198717415333, 0.016843406483530998, 0.022561710327863693, 0.9462695717811584]"
A01,inter_subject,train,mi,nn_erm,3,3,"[0.007681270129978657, 0.03556174039840698, 0.029228810220956802, 0.9275282621383667]"
A01,inter_subject,train,mi,nn_erm,3,3,"[0.05890132114291191, 0.03889361023902893, 0.013755446299910545, 0.8884496092796326]"
A01,inter_subject,train,mi,nn_erm,0,0,"[0.5090689659118652, 0.24063976109027863, 0.17559164762496948, 0.07469960302114487]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.03765083849430084, 0.05186617374420166, 0.7242538332939148, 0.1862291395664215]"
A01,inter_subject,train,mi,nn_erm,1,0,"[0.683842658996582, 0.3050273358821869, 0.002139861462637782, 0.00899018906056881]"
A01,inter_subject,train,mi,nn_erm,0,1,"[0.2229727953672409, 0.6646642684936523, 0.012643243186175823, 0.09971964359283447]"
A01,inter_subject,train,mi,nn_erm,0,0,"[0.5696636438369751, 0.3344515860080719, 0.06867383420467377, 0.02721097506582737]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.026499362662434578, 0.12712933123111725, 0.7586016058921814, 0.08776969462633133]"
A01,inter_subject,train,mi,nn_erm,3,0,"[0.6019737720489502, 0.1692492514848709, 0.02956169843673706, 0.1992153376340866]"
A01,inter_subject,train,mi,nn_erm,0,0,"[0.517911970615387, 0.1692386269569397, 0.028762584552168846, 0.28408676385879517]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.007709491066634655, 0.019529366865754128, 0.9325754046440125, 0.04018571972846985]"
A01,inter_subject,train,mi,nn_erm,2,0,"[0.4850658178329468, 0.4583274722099304, 0.02338492125272751, 0.03322187438607216]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.008212173357605934, 0.06397613137960434, 0.9096794128417969, 0.018132181838154793]"
A01,inter_subject,train,mi,nn_erm,0,1,"[0.3919004201889038, 0.6014370322227478, 0.0051277633756399155, 0.001534742652438581]"
A01,inter_subject,train,mi,nn_erm,1,0,"[0.5088747143745422, 0.4336009919643402, 0.041588276624679565, 0.015936102718114853]"
A01,inter_subject,train,mi,nn_erm,0,1,"[0.45071864128112793, 0.5339705348014832, 0.008395113050937653, 0.006915702018886805]"
A01,inter_subject,train,mi,nn_erm,1,1,"[0.1706082969903946, 0.6607979536056519, 0.16570954024791718, 0.002884211950004101]"
A01,inter_subject,train,mi,nn_erm,1,0,"[0.5238062143325806, 0.30823859572410583, 0.05554680898785591, 0.11240839213132858]"
A01,inter_subject,train,mi,nn_erm,0,0,"[0.3980584144592285, 0.28272098302841187, 0.29971757531166077, 0.019503021612763405]"
A01,inter_subject,train,mi,nn_erm,1,1,"[0.24246136844158173, 0.7118126153945923, 0.02963307499885559, 0.016092868521809578]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.03514689579606056, 0.09456700831651688, 0.7754544019699097, 0.09483177959918976]"
A01,inter_subject,train,mi,nn_erm,1,1,"[0.16590943932533264, 0.33842936158180237, 0.32657477259635925, 0.16908638179302216]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.0008667423971928656, 0.0015154224820435047, 0.9898052215576172, 0.007812564261257648]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.08788375556468964, 0.07876032590866089, 0.8088604211807251, 0.0244955662637949]"
A01,inter_subject,train,mi,nn_erm,3,3,"[0.24638140201568604, 0.1787625253200531, 0.17093464732170105, 0.4039214849472046]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.00347683927975595, 0.010093853808939457, 0.985288679599762, 0.0011407099664211273]"
A01,inter_subject,train,mi,nn_erm,2,2,"[0.007962444797158241, 0.002496348926797509, 0.9594687223434448, 0.030072558671236038]"
A01,inter_subject,train,mi,nn_erm,3,0,"[0.6976904273033142, 0.26625025272369385, 0.0023598610423505306, 0.033699434250593185]"
A01,inter_subject,train,mi,nn_erm,3,3,"[0.26815149188041687, 0.25509244203567505, 0.13625691831111908, 0.3404991626739502]"
