subject_test,split_type,fs_method,model,fs_time,train_time,n_train,n_test
A01,inter_subject,mi,nn_erm,13.453423261642456,3.2768959999084473,4608,576
A01,inter_subject,mi,nn_domain_agreement,13.453423261642456,2.178248882293701,4608,576
A02,inter_subject,mi,nn_erm,12.664963722229004,3.2935237884521484,4608,576
A02,inter_subject,mi,nn_domain_agreement,12.664963722229004,2.159195899963379,4608,576
A03,inter_subject,mi,nn_erm,12.823164939880371,3.2628631591796875,4608,576
A03,inter_subject,mi,nn_domain_agreement,12.823164939880371,2.158074140548706,4608,576
A04,inter_subject,mi,nn_erm,12.641049861907959,3.254542827606201,4608,576
A04,inter_subject,mi,nn_domain_agreement,12.641049861907959,2.373840093612671,4608,576
A05,inter_subject,mi,nn_erm,12.880435943603516,3.3641858100891113,4608,576
A05,inter_subject,mi,nn_domain_agreement,12.880435943603516,2.112253189086914,4608,576
A06,inter_subject,mi,nn_erm,13.572617053985596,3.2180449962615967,4608,576
A06,inter_subject,mi,nn_domain_agreement,13.572617053985596,2.1302530765533447,4608,576
A07,inter_subject,mi,nn_erm,12.747903108596802,3.2896578311920166,4608,576
A07,inter_subject,mi,nn_domain_agreement,12.747903108596802,2.1780238151550293,4608,576
A08,inter_subject,mi,nn_erm,12.767826795578003,3.4665699005126953,4608,576
A08,inter_subject,mi,nn_domain_agreement,12.767826795578003,2.1155760288238525,4608,576
A09,inter_subject,mi,nn_erm,12.555569887161255,3.154994010925293,4608,576
A09,inter_subject,mi,nn_domain_agreement,12.555569887161255,2.165421962738037,4608,576
