subject,session,split_type,split,fs_method,model,y_true,y_pred,y_prob
A01,session1,intra_session,train,mi,nn_erm,3,3,"[2.6618461106409086e-06, 8.773200832479233e-09, 0.008009323850274086, 0.9919880628585815]"
A01,session1,intra_session,train,mi,nn_erm,2,2,"[0.0003550520050339401, 0.0003136707528028637, 0.9834778904914856, 0.015853481367230415]"
A01,session1,intra_session,train,mi,nn_erm,1,1,"[2.104261875501834e-05, 0.9999773502349854, 1.6121638282129425e-06, 9.982966710231356e-12]"
A01,session1,intra_session,train,mi,nn_erm,0,0,"[0.9924535155296326, 9.6499218216195e-07, 0.007413950283080339, 0.00013151721213944256]"
A01,session1,intra_session,train,mi,nn_erm,0,0,"[0.9977899789810181, 5.931120995228412e-06, 0.0021533339750021696, 5.077418245491572e-05]"
A01,session1,intra_session,train,mi,nn_erm,1,1,"[0.00024201902851928025, 0.9997530579566956, 4.970347163180122e-06, 6.693290366399651e-10]"
A01,session1,intra_session,train,mi,nn_erm,2,2,"[0.00046376901445910335, 0.0016851007239893079, 0.9968693852424622, 0.0009817540412768722]"
A01,session1,intra_session,train,mi,nn_erm,3,3,"[0.008630533702671528, 7.521309453295544e-05, 0.001663130009546876, 0.9896311163902283]"
A01,session1,intra_session,train,mi,nn_erm,1,1,"[0.006517593748867512, 0.9934259653091431, 5.5791650083847344e-05, 7.672558695048792e-07]"
A01,session1,intra_session,train,mi,nn_erm,2,2,"[0.003050304250791669, 2.5273708160966635e-05, 0.9969176054000854, 6.774255780328531e-06]"
A01,session1,intra_session,train,mi,nn_erm,0,0,"[0.988694965839386, 1.0064510206575505e-05, 3.0411960324272513e-05, 0.011264597997069359]"
A01,session1,intra_session,train,mi,nn_erm,0,0,"[0.9912731051445007, 0.006084145978093147, 0.0026414012536406517, 1.318085310231254e-06]"
A01,session1,intra_session,train,mi,nn_erm,0,0,"[0.9986942410469055, 0.0010575598571449518, 9.646407852414995e-05, 0.00015176001761574298]"
A01,session1,intra_session,train,mi,nn_erm,3,3,"[2.3881268056830107e-12, 3.440739446830543e-12, 0.0070952451787889, 0.9929047226905823]"
A01,session1,intra_session,train,mi,nn_erm,1,1,"[0.0007325793849304318, 0.994802713394165, 0.004464725032448769, 4.398725828025363e-09]"
