subject,session,split_type,fs_method,model,fs_time,train_time,n_train,n_test
A01,session1,intra_session,mi,nn_erm,1.7342121601104736,0.1939070224761963,230,58
A01,session1,intra_session,mi,nn_domain_agreement,1.7342121601104736,0.1234138011932373,230,58
A01,session2,intra_session,mi,nn_erm,1.8648521900177002,0.1871337890625,230,58
A01,session2,intra_session,mi,nn_domain_agreement,1.8648521900177002,0.11634206771850586,230,58
A02,session1,intra_session,mi,nn_erm,1.7827529907226562,0.23975396156311035,230,58
A02,session1,intra_session,mi,nn_domain_agreement,1.7827529907226562,0.13201618194580078,230,58
A02,session2,intra_session,mi,nn_erm,1.8884258270263672,0.19649791717529297,230,58
A02,session2,intra_session,mi,nn_domain_agreement,1.8884258270263672,0.12033796310424805,230,58
A03,session1,intra_session,mi,nn_erm,1.76485013961792,0.19591617584228516,230,58
A03,session1,intra_session,mi,nn_domain_agreement,1.76485013961792,0.2853109836578369,230,58
A03,session2,intra_session,mi,nn_erm,1.9608519077301025,0.1966719627380371,230,58
A03,session2,intra_session,mi,nn_domain_agreement,1.9608519077301025,0.13293075561523438,230,58
A04,session1,intra_session,mi,nn_erm,1.7615079879760742,0.18892812728881836,230,58
A04,session1,intra_session,mi,nn_domain_agreement,1.7615079879760742,0.11871004104614258,230,58
A04,session2,intra_session,mi,nn_erm,1.8024311065673828,0.19035601615905762,230,58
A04,session2,intra_session,mi,nn_domain_agreement,1.8024311065673828,0.11909890174865723,230,58
A05,session1,intra_session,mi,nn_erm,1.8518431186676025,0.21406316757202148,230,58
A05,session1,intra_session,mi,nn_domain_agreement,1.8518431186676025,0.15665030479431152,230,58
A05,session2,intra_session,mi,nn_erm,1.7550818920135498,0.1909627914428711,230,58
A05,session2,intra_session,mi,nn_domain_agreement,1.7550818920135498,0.13472700119018555,230,58
A06,session1,intra_session,mi,nn_erm,1.7421271800994873,0.20125699043273926,230,58
A06,session1,intra_session,mi,nn_domain_agreement,1.7421271800994873,0.13003110885620117,230,58
A06,session2,intra_session,mi,nn_erm,1.738741159439087,0.20522189140319824,230,58
A06,session2,intra_session,mi,nn_domain_agreement,1.738741159439087,0.13146495819091797,230,58
A07,session1,intra_session,mi,nn_erm,1.7484970092773438,0.19774508476257324,230,58
A07,session1,intra_session,mi,nn_domain_agreement,1.7484970092773438,0.12983202934265137,230,58
A07,session2,intra_session,mi,nn_erm,1.7457330226898193,0.21056628227233887,230,58
A07,session2,intra_session,mi,nn_domain_agreement,1.7457330226898193,0.13222122192382812,230,58
A08,session1,intra_session,mi,nn_erm,1.7451660633087158,0.21053814888000488,230,58
A08,session1,intra_session,mi,nn_domain_agreement,1.7451660633087158,0.13024687767028809,230,58
A08,session2,intra_session,mi,nn_erm,1.7497940063476562,0.21060514450073242,230,58
A08,session2,intra_session,mi,nn_domain_agreement,1.7497940063476562,0.14912104606628418,230,58
A09,session1,intra_session,mi,nn_erm,1.7548370361328125,0.21772480010986328,230,58
A09,session1,intra_session,mi,nn_domain_agreement,1.7548370361328125,0.1345992088317871,230,58
A09,session2,intra_session,mi,nn_erm,1.7533080577850342,0.22510218620300293,230,58
A09,session2,intra_session,mi,nn_domain_agreement,1.7533080577850342,0.13061022758483887,230,58
