subject_test,split_type,split,fs_method,model,y_true,y_pred,y_prob
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.9952503442764282, 0.001510503818280995, 0.002972967689856887, 0.00026621020515449345]"
A01,inter_subject,train,pca_32,nn_erm,1,1,"[0.031117087230086327, 0.9199101328849792, 0.001150989206507802, 0.047821804881095886]"
A01,inter_subject,train,pca_32,nn_erm,1,1,"[2.4113735435093986e-06, 0.9892994165420532, 0.0015180667396634817, 0.009180083870887756]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.6703448295593262, 0.11654334515333176, 0.17966417968273163, 0.033447686582803726]"
A01,inter_subject,train,pca_32,nn_erm,1,1,"[0.045595284551382065, 0.745843231678009, 0.13399726152420044, 0.0745641440153122]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.785801887512207, 0.11194105446338654, 0.052693046629428864, 0.04956398904323578]"
A01,inter_subject,train,pca_32,nn_erm,1,1,"[0.0013712955405935645, 0.9686836004257202, 0.00423717126250267, 0.025708017870783806]"
A01,inter_subject,train,pca_32,nn_erm,2,2,"[0.032243527472019196, 0.03989056125283241, 0.9193073511123657, 0.008558538742363453]"
A01,inter_subject,train,pca_32,nn_erm,1,1,"[0.28525495529174805, 0.7098517417907715, 0.004496876150369644, 0.0003963753115385771]"
A01,inter_subject,train,pca_32,nn_erm,3,3,"[0.0002703922800719738, 0.002902060514315963, 0.0010561071103438735, 0.9957713484764099]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.9992063641548157, 0.0005377198103815317, 3.7794434319948778e-06, 0.0002521835849620402]"
A01,inter_subject,train,pca_32,nn_erm,2,2,"[0.09052446484565735, 0.0009939062874764204, 0.9041925072669983, 0.004289089236408472]"
A01,inter_subject,train,pca_32,nn_erm,1,1,"[0.004247104749083519, 0.9708064198493958, 0.0005647013313136995, 0.02438180521130562]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.7967211008071899, 0.0029559419490396976, 5.699042230844498e-05, 0.2002660036087036]"
A01,inter_subject,train,pca_32,nn_erm,3,3,"[0.015984756872057915, 0.005750088486820459, 3.2051124435383826e-05, 0.9782330989837646]"
A01,inter_subject,train,pca_32,nn_erm,3,3,"[0.07981451600790024, 0.0005912369233556092, 0.0023507631849497557, 0.917243480682373]"
A01,inter_subject,train,pca_32,nn_erm,3,3,"[0.01563951000571251, 0.00237478269264102, 0.019436022266745567, 0.9625496864318848]"
A01,inter_subject,train,pca_32,nn_erm,3,3,"[0.02619689144194126, 0.0007941956864669919, 0.05664718896150589, 0.9163617491722107]"
A01,inter_subject,train,pca_32,nn_erm,3,3,"[0.03856198117136955, 0.0016439983155578375, 2.1596411897917278e-05, 0.9597724676132202]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.9995912909507751, 0.00011698347225319594, 0.00012777347001247108, 0.0001640560949454084]"
A01,inter_subject,train,pca_32,nn_erm,2,2,"[0.025009462609887123, 0.012263820506632328, 0.9597892761230469, 0.002937488490715623]"
A01,inter_subject,train,pca_32,nn_erm,1,1,"[0.004127665888518095, 0.6614833474159241, 2.9998695026733913e-05, 0.3343590795993805]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.9864999651908875, 0.0015712837921455503, 0.00041917586349882185, 0.011509569361805916]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.9253552556037903, 0.07049448043107986, 0.00404583802446723, 0.00010436762386234477]"
A01,inter_subject,train,pca_32,nn_erm,2,2,"[0.012181127443909645, 0.05144049599766731, 0.7761833071708679, 0.16019506752490997]"
A01,inter_subject,train,pca_32,nn_erm,3,3,"[0.000502434209920466, 0.01859528198838234, 0.0031430362723767757, 0.9777592420578003]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.8766968250274658, 0.0035659282002598047, 0.1049308180809021, 0.014806369319558144]"
A01,inter_subject,train,pca_32,nn_erm,2,2,"[0.006401218939572573, 0.011901299469172955, 0.9477600455284119, 0.03393743559718132]"
A01,inter_subject,train,pca_32,nn_erm,2,2,"[0.009167223237454891, 0.012275473214685917, 0.978031575679779, 0.00052570307161659]"
A01,inter_subject,train,pca_32,nn_erm,2,2,"[0.023585475981235504, 0.05052019655704498, 0.881454348564148, 0.04443999007344246]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.9914842247962952, 0.0001694556704023853, 0.004071592818945646, 0.004274772480130196]"
A01,inter_subject,train,pca_32,nn_erm,1,1,"[0.0053956289775669575, 0.7577924728393555, 3.3616539440117776e-05, 0.23677825927734375]"
A01,inter_subject,train,pca_32,nn_erm,0,0,"[0.8822828531265259, 0.033447861671447754, 0.05512824282050133, 0.029140986502170563]"
A01,inter_subject,train,pca_32,nn_erm,1,1,"[0.014403524808585644, 0.9429088234901428, 0.001127236639149487, 0.04156043380498886]"
