subject,session,split_type,fs_method,model,fs_time,train_time,n_train,n_test
A01,session1,intra_session,pca_32,nn_erm,0.1024479866027832,0.3146679401397705,201,87
A01,session2,intra_session,pca_32,nn_erm,0.03179001808166504,0.09277701377868652,201,87
A02,session1,intra_session,pca_32,nn_erm,0.04791617393493652,0.10405182838439941,201,87
A02,session2,intra_session,pca_32,nn_erm,0.03247880935668945,0.07803869247436523,201,87
A03,session1,intra_session,pca_32,nn_erm,0.0311281681060791,0.07938003540039062,201,87
A03,session2,intra_session,pca_32,nn_erm,0.03477287292480469,0.08310794830322266,201,87
A04,session1,intra_session,pca_32,nn_erm,0.03274989128112793,0.0718388557434082,201,87
A04,session2,intra_session,pca_32,nn_erm,0.032102346420288086,0.0712738037109375,201,87
A05,session1,intra_session,pca_32,nn_erm,0.03745698928833008,0.08304715156555176,201,87
A05,session2,intra_session,pca_32,nn_erm,0.03216195106506348,0.07213807106018066,201,87
A06,session1,intra_session,pca_32,nn_erm,0.031014204025268555,0.07560181617736816,201,87
A06,session2,intra_session,pca_32,nn_erm,0.03848123550415039,0.07798099517822266,201,87
A07,session1,intra_session,pca_32,nn_erm,0.031378984451293945,0.07311511039733887,201,87
A07,session2,intra_session,pca_32,nn_erm,0.030371665954589844,0.07129287719726562,201,87
A08,session1,intra_session,pca_32,nn_erm,0.05286598205566406,0.13980603218078613,201,87
A08,session2,intra_session,pca_32,nn_erm,0.039259910583496094,0.0744469165802002,201,87
A09,session1,intra_session,pca_32,nn_erm,0.0495600700378418,0.296184778213501,201,87
A09,session2,intra_session,pca_32,nn_erm,0.05633187294006348,0.07961082458496094,201,87
