split_type,split,fs_method,model,y_true,y_pred,y_prob
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.0043390546925365925, 0.00012749311281368136, 0.9885287880897522, 0.007004666142165661]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.005958572495728731, 2.097343212881242e-06, 0.06111903488636017, 0.9329202175140381]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.9741326570510864, 0.02582632564008236, 4.0956128941616043e-05, 3.70180899267325e-08]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.009670182131230831, 3.091786595632584e-07, 0.16059093177318573, 0.8297385573387146]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.17053309082984924, 0.0001190376715385355, 0.07592415064573288, 0.7534237504005432]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.0032053429167717695, 9.461272156841005e-07, 0.07288466393947601, 0.9239090085029602]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.0006472511449828744, 0.0041424292139709, 0.9901461005210876, 0.005064193159341812]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.052726369351148605, 6.80933510466275e-07, 0.0005449518212117255, 0.9467279314994812]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[2.7159096589457477e-06, 4.31375474363449e-06, 0.02493303455412388, 0.9750598669052124]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.00046561553608626127, 1.3406967758200494e-09, 0.02975163795053959, 0.9697827100753784]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.022676225751638412, 7.371276296908036e-05, 0.9668481945991516, 0.01040193997323513]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[1.2487814274209086e-05, 1.0225245539174921e-08, 0.9965127110481262, 0.0034747957251966]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.037701427936553955, 0.9611572027206421, 0.0004077063640579581, 0.000733628636226058]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.00493771955370903, 0.9946711659431458, 0.00039053033106029034, 6.300213044596603e-07]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.7749382853507996, 0.2230192869901657, 0.002042369917035103, 1.0939344008420449e-07]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.022413160651922226, 0.009197971783578396, 0.044032275676727295, 0.9243566989898682]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.8062121868133545, 0.15452459454536438, 0.012987731955945492, 0.026275504380464554]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.00021884804300498217, 0.0002578655257821083, 0.9977838397026062, 0.001739401719532907]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.001574604189954698, 0.9959961175918579, 0.002115836599841714, 0.0003134855069220066]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.12935508787631989, 1.2984456589038018e-05, 0.00797442439943552, 0.8626575469970703]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[6.567272976099048e-06, 0.011257767677307129, 0.9697960615158081, 0.018939591944217682]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.2044283151626587, 0.7939867377281189, 0.0015176901360973716, 6.733158079441637e-05]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[1.1426604942244012e-05, 2.8314255384742637e-09, 0.006846678908914328, 0.9931419491767883]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.9730055928230286, 0.024236133322119713, 0.002677953103557229, 8.033433550735936e-05]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.9600590467453003, 0.039873939007520676, 3.088956145802513e-05, 3.614143133745529e-05]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.6987610459327698, 0.3005882501602173, 8.371133299078792e-05, 0.0005670312675647438]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[1.1570916285563726e-05, 1.1068862022511894e-06, 0.14754267036914825, 0.8524446487426758]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.0014533797511830926, 0.000406706880312413, 0.9977118968963623, 0.00042799697257578373]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.7325444221496582, 0.2052321881055832, 0.05389942601323128, 0.008323931135237217]"
global_mixed_subjects,train,mi,nn_erm,0,1,"[0.24597132205963135, 0.7371116876602173, 0.01590810716152191, 0.0010089644929394126]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[7.627434388268739e-05, 0.0006975411088205874, 0.06577012687921524, 0.9334560036659241]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.7196662425994873, 0.2803283929824829, 1.4967107517804834e-06, 3.897396709362511e-06]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[3.4714583307504654e-05, 4.871627879765583e-06, 0.9976586103439331, 0.0023018165957182646]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.014732599258422852, 0.9852626323699951, 4.7512030505458824e-06, 2.9806759838102437e-10]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.9814999103546143, 0.005255779717117548, 0.0006265626871027052, 0.012617739848792553]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.001201097504235804, 1.5348629176514805e-06, 0.066551573574543, 0.9322458505630493]"
global_mixed_subjects,train,mi,nn_erm,0,3,"[0.32341721653938293, 2.0895581087643222e-07, 0.0002064248255919665, 0.6763761043548584]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[1.4791073226660956e-05, 9.224068548974174e-07, 0.9190825819969177, 0.08090178668498993]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.024623895063996315, 0.009325887076556683, 0.9560069441795349, 0.010043193586170673]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[0.012857495807111263, 3.064182862999587e-07, 0.19540226459503174, 0.7917399406433105]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.11100080609321594, 0.8889942765235901, 2.3510249320679577e-06, 2.577568693595822e-06]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.02169235423207283, 0.010944121517241001, 0.8787117600440979, 0.08865174651145935]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.9609548449516296, 1.2086463812011061e-06, 0.018837036564946175, 0.020206881687045097]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.36552950739860535, 0.6179224848747253, 0.01652868464589119, 1.939648973348085e-05]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.06940585374832153, 0.9305910468101501, 8.216524634008238e-07, 2.3263407911144895e-06]"
global_mixed_subjects,train,mi,nn_erm,0,2,"[0.12965571880340576, 0.0021160244941711426, 0.7148438692092896, 0.15338440239429474]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[4.3812782678287476e-05, 0.9980606436729431, 0.0018946608761325479, 8.476627044728957e-07]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.03368367627263069, 0.9573685526847839, 0.0063756732270121574, 0.0025721287820488214]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.0023064548149704933, 0.997607946395874, 8.544156298739836e-05, 1.201729276090191e-07]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[6.499744076293723e-10, 8.55646872799376e-11, 0.9933151602745056, 0.006684803403913975]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.6129360198974609, 0.15930254757404327, 0.21298348903656006, 0.014777922071516514]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.9892093539237976, 4.574351623887196e-05, 0.008745073340833187, 0.001999816158786416]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[6.16026773059275e-06, 4.184124918538146e-06, 0.9169976115226746, 0.0829920768737793]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.0896933451294899, 0.9077440500259399, 0.0025623124092817307, 3.5629520311886154e-07]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.005228203255683184, 0.03593076020479202, 0.9420930743217468, 0.01674790494143963]"
global_mixed_subjects,train,mi,nn_erm,3,3,"[3.417163085828179e-08, 8.798862971559629e-09, 0.052753154188394547, 0.947246789932251]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.016046231612563133, 0.0005410399753600359, 0.9389572143554688, 0.04445558041334152]"
global_mixed_subjects,train,mi,nn_erm,2,2,"[0.01543309073895216, 4.136918505537324e-06, 0.9845602512359619, 2.601221240183804e-06]"
global_mixed_subjects,train,mi,nn_erm,0,0,"[0.9254797697067261, 0.07435324788093567, 0.0001605142024345696, 6.4764935814309865e-06]"
global_mixed_subjects,train,mi,nn_erm,1,1,"[0.15229886770248413, 0.846241295337677, 0.0002246769581688568, 0.0012351906625553966]"
