subject,session_test,split_type,split,fs_method,model,y_true,y_pred,y_prob
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9699699878692627, 0.00011046704457839951, 0.0006838702247478068, 0.029235683381557465]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[0.01368856430053711, 0.9854863882064819, 0.000824878690764308, 9.794601396606595e-08]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[0.04634538292884827, 0.952104389667511, 0.0014993187505751848, 5.0964608817594126e-05]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9999228715896606, 6.839043635409325e-05, 5.517733256965585e-07, 8.14274881122401e-06]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[0.00023755800793878734, 0.9997356534004211, 2.6492172764847055e-05, 2.3988363295757154e-07]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.977165699005127, 2.2072203137213364e-05, 0.0001338103029411286, 0.022678326815366745]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[1.607233571121469e-05, 0.9999829530715942, 7.884071919761482e-07, 2.0099905384540762e-07]"
A01,session1,inter_session,train,mi,nn_erm,2,2,"[4.767908734493176e-09, 8.370579251959498e-08, 0.9979439377784729, 0.0020559600088745356]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[0.00879377406090498, 0.9902526140213013, 0.0008725461084395647, 8.110085764201358e-05]"
A01,session1,inter_session,train,mi,nn_erm,3,3,"[0.0001984832779271528, 0.00033604935742914677, 0.006223789416253567, 0.9932417273521423]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9802777171134949, 0.016704179346561432, 0.0004020046326331794, 0.0026161172427237034]"
A01,session1,inter_session,train,mi,nn_erm,2,2,"[8.414001939627269e-08, 2.882574960949569e-07, 0.9658775925636292, 0.03412206470966339]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[0.00224050204269588, 0.9914156794548035, 0.005465187132358551, 0.0008786190301179886]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9698156714439392, 1.3598969950123774e-08, 2.1416629181203461e-07, 0.03018404357135296]"
A01,session1,inter_session,train,mi,nn_erm,3,3,"[1.3198031183492276e-06, 1.0647113413142506e-06, 0.002012841636314988, 0.997984766960144]"
A01,session1,inter_session,train,mi,nn_erm,3,3,"[2.1418003598228097e-05, 2.6782906559219555e-08, 0.02031199261546135, 0.9796665906906128]"
A01,session1,inter_session,train,mi,nn_erm,3,3,"[5.111204862129348e-11, 5.39764144491528e-08, 0.013291286304593086, 0.9867087602615356]"
A01,session1,inter_session,train,mi,nn_erm,3,3,"[2.0230128939147107e-05, 6.502037649624981e-06, 0.020873092114925385, 0.9791001677513123]"
A01,session1,inter_session,train,mi,nn_erm,3,3,"[8.072930768321385e-09, 5.667552116506158e-08, 0.03089333139359951, 0.9691067337989807]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9981974959373474, 1.621259616513271e-05, 0.00020504624990280718, 0.001581263029947877]"
A01,session1,inter_session,train,mi,nn_erm,2,2,"[6.98037474649027e-05, 0.001796353841200471, 0.977179229259491, 0.020954634994268417]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[0.0009590926929377019, 0.9988806843757629, 0.0001331125240540132, 2.7096242774860002e-05]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9999984502792358, 1.0791492286443827e-06, 2.4452328162283266e-08, 4.3233634983153024e-07]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9860187768936157, 1.445135580979695e-06, 3.856781347622018e-07, 0.013979386538267136]"
A01,session1,inter_session,train,mi,nn_erm,2,2,"[0.00035973169724456966, 2.8876089345430955e-05, 0.9808245897293091, 0.01878681592643261]"
A01,session1,inter_session,train,mi,nn_erm,3,3,"[0.015630880370736122, 1.4696069001729484e-06, 0.0008436820935457945, 0.9835239052772522]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.991678774356842, 0.008258344605565071, 1.978562431759201e-05, 4.3136060412507504e-05]"
A01,session1,inter_session,train,mi,nn_erm,2,2,"[0.00010170078166993335, 0.0002546352334320545, 0.990478515625, 0.009165243245661259]"
A01,session1,inter_session,train,mi,nn_erm,2,2,"[9.075577789285916e-11, 3.1522480181678247e-09, 0.9967585206031799, 0.0032414800953119993]"
A01,session1,inter_session,train,mi,nn_erm,2,2,"[6.22176012257114e-05, 1.310749553340429e-06, 0.9814993739128113, 0.01843714341521263]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9992008805274963, 1.4465772437688429e-06, 3.972704507759772e-05, 0.0007578739314340055]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[4.5990127546247095e-05, 0.9999443292617798, 2.861009534171899e-06, 6.804186796216527e-06]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9973824620246887, 5.815516124130227e-05, 1.0777996976685245e-05, 0.002548560732975602]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[8.265193901024759e-05, 0.9999170303344727, 2.984296543218079e-07, 2.6064195246533473e-09]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[0.025852009654045105, 0.9420977830886841, 0.02382798120379448, 0.00822223350405693]"
A01,session1,inter_session,train,mi,nn_erm,0,0,"[0.9923477172851562, 0.004720787983387709, 0.00011451190221123397, 0.0028169886209070683]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[0.0009410973289050162, 0.9989871382713318, 4.034994708490558e-05, 3.145449227304198e-05]"
A01,session1,inter_session,train,mi,nn_erm,2,2,"[4.637647066374484e-08, 7.880181129849007e-08, 0.9759328365325928, 0.024067092686891556]"
A01,session1,inter_session,train,mi,nn_erm,1,1,"[0.01077560056000948, 0.9892213344573975, 1.1046889767385437e-06, 1.890800604087417e-06]"
A01,session1,inter_session,train,mi,nn_erm,2,2,"[1.431621058145538e-06, 5.875879196537426e-06, 0.9999904632568359, 2.2504611933982233e-06]"
