x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,y_0,domain
-13.834959,3.5640392,-10.358527,-4.6897564,-6.01058,-9.368231,-4.4096246,1.4113367,2.9641962,6.175105,-6.270979,4.9351864,-7.8692245,0.8389826,2.5962543,6.7477407,5.278325,-2.496758,-6.5951605,-8.429055,-1.5361886,10.473211,-6.2716455,4.6783905,5.742706,0.20439005,-11.881445,2.3698378,-2.9091582,2.5546966,-0.3803525,-0.1548115,8.180042,5.7924104,-0.13917947,1.3332193,2.6827612,15.842823,-3.5826058,2.6141324,11.669509,7.096045,-10.266315,6.168341,-5.8882055,7.758526,13.215399,-1.1181166,2.8004136,-18.025257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32733142,0
-0.9653236,10.329088,-6.86849,-10.020107,-2.1999593,-10.246693,-0.8735275,-11.731168,7.886775,4.386543,-6.226635,9.226017,-1.5805368,9.782335,-19.493301,4.8270473,-3.7986505,3.6387558,-9.283819,-9.467939,11.275486,19.079159,3.9565606,1.5999534,-6.3313518,0.4375167,-7.6700473,-6.3292704,-1.7413487,7.844756,-6.307287,2.1716084,10.600006,-7.8433213,5.5737405,-5.4868946,4.76612,20.112232,-12.629122,6.6535273,2.651599,11.233837,1.2478342,0.6140461,-13.058689,-2.4310865,5.9932175,-2.3361516,-9.546883,1.5995846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5469671,0
-3.2469852,3.6915798,-4.585816,-10.0592785,-13.218217,-16.51102,-1.9456716,3.802994,0.6896918,0.90010875,4.217848,-0.091257334,-9.237965,11.902443,-17.728775,11.22712,4.9529414,-0.47747028,-12.454292,-12.521488,15.582788,5.6519613,-5.5274897,8.330772,21.642944,14.07582,-10.669874,-6.7489233,-15.989631,10.913961,-2.7273455,1.8137376,-0.23514557,5.1729217,13.642549,-7.044215,2.5528073,-4.2104454,-7.6106853,10.236626,19.834747,8.464142,-5.908796,5.402625,0.45099974,-0.56664944,4.9587946,-9.132193,-1.5089858,-6.141113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052595817,0
-7.821624,6.4628325,-9.122088,-3.4185138,-7.94522,-8.712792,-0.9890032,-5.0630865,2.1841369,-8.009129,0.59419715,4.274373,-5.291172,9.7312565,-7.7586417,-4.032449,-2.959434,3.1814098,-5.443017,-0.520628,2.703919,3.9239364,-13.97813,0.16249418,7.2437744,16.03332,-10.343509,-12.204481,-3.4876451,20.703346,-0.29007864,1.5981455,8.639115,1.0065324,4.409727,-7.5818796,4.929922,2.1359382,-12.1738405,-1.8223319,1.3167143,-4.41465,-6.07592,-2.2359142,-2.2408094,5.694241,10.355368,-8.834478,1.6486979,-6.5041413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2100998,0
6.222541,6.4561324,-12.168179,-4.441902,-7.760727,-11.294252,-1.7874136,-1.9529895,-2.0447633,4.5298533,-8.750515,4.1259217,-3.4499102,4.482876,0.6375809,3.4813306,5.8730702,-5.03096,-2.8545876,-5.629974,8.749599,7.560299,-10.62611,3.1954217,15.441979,9.159071,-15.205716,-11.831552,-6.963489,3.619849,-12.744377,1.1414189,12.82246,-3.2874036,6.3466806,-5.235004,0.16815305,8.029803,-17.72726,0.94911766,4.9351125,5.8020406,1.8247237,-0.6044016,-10.201226,10.007359,2.407045,1.4874535,-6.1572075,-18.908798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27314028,0
-6.315694,2.5007122,-10.804308,-0.7657919,-2.2432203,0.1508112,1.2484555,-0.61863875,-2.715939,0.40125307,-6.0758724,-3.6405215,-11.465552,16.100899,-19.222883,10.507093,-4.319946,6.4101906,-4.9043384,3.4673839,-1.7808514,9.135916,-14.103207,7.932533,6.3812137,3.373589,-12.407612,-5.554889,-8.861687,4.3159637,-0.5877285,-0.54436445,-2.72995,2.594557,-0.33584,-1.4211121,2.6444123,10.449344,-12.041331,12.004824,11.885827,3.8331814,-9.539268,19.675476,-9.856926,1.4107072,6.4524517,-4.603535,-4.487505,-5.5488305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3131526,0
-1.6503744,8.791651,-4.9419827,-9.077663,-7.587991,-8.363297,-7.372127,-4.5064955,-3.8177652,3.2017934,-3.0756612,9.026305,-6.4966407,10.192622,-0.94480133,4.6863623,2.6018448,0.42341912,-8.094979,-5.4229674,7.039097,24.237125,-7.091763,6.3958483,9.941084,6.8472476,-1.3030849,-9.477471,-6.328135,8.339688,-14.646114,-5.801797,22.136894,-4.9512196,3.5732627,-3.9362044,8.884001,9.857658,-2.4054031,5.5365543,4.5502195,4.08213,-12.287212,1.8814969,-12.163052,3.2429004,9.086551,-15.468711,4.4932036,-7.4246845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4558617,0
1.310962,3.1695652,-15.116325,1.7229214,-8.686276,-8.730751,-1.034275,-6.8822412,0.39809513,-4.7248054,-1.3112161,-0.87659025,-1.8540812,-2.6750073,-2.7208042,3.3776045,3.3060527,4.575587,-10.729151,-5.808624,-0.3987608,13.148178,5.080232,9.90811,4.876967,15.563101,-0.8286376,-14.656311,3.7572803,11.578074,-11.074152,-1.423888,7.77213,-0.14316136,7.251033,-3.8753037,0.5589597,9.157782,-16.512709,-2.466156,15.679653,6.787383,-4.2849765,4.9828415,2.282744,5.5556197,0.29281807,-4.907567,-7.1511884,0.6588993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3765587,0
-3.192729,0.21650553,-12.202305,-7.9093027,-9.94437,-6.0774336,-16.44122,1.0366914,-0.38855064,6.371624,4.924712,4.486622,-9.782377,19.184935,-2.990407,4.573253,-0.5828092,6.32084,-8.37406,-15.410198,-0.6247368,11.169543,6.6384845,4.0997534,17.555225,9.079171,-5.090699,2.4043446,-1.8013759,-1.7494965,-6.25883,-9.70802,-0.24351406,-4.3143167,8.389771,-1.3501022,6.3097963,4.4680176,-16.995804,3.9153323,8.439251,0.15834045,-1.1996577,-3.5046358,-5.757159,-6.763266,11.452466,3.4113383,2.0907712,-8.614366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20211853,0
5.600456,16.26465,-18.149336,-7.9408426,-6.6187415,-7.0507455,-8.256712,-8.375491,-13.615374,-2.268244,-3.7700505,-1.1447592,-17.778023,9.333027,-17.56818,3.153051,-9.598337,-1.7128569,-0.1333375,0.6916752,7.658638,-0.9749813,-18.245146,-2.3527617,9.943069,6.0758066,2.8126268,-12.263879,-8.721053,9.636126,-8.725216,-3.2087574,13.010112,7.564013,0.41738582,-2.417492,-0.75212336,4.7018805,-11.482871,2.1541245,11.524621,-2.7464857,-4.8169928,9.856934,-8.832004,-2.6704698,15.95944,-7.4764805,-16.253767,-15.319106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13496603,0
